Reference,Age (Ma),Age old,Age young,CO2 (ppm),type,CO2 low,CO2 high,CO2 range,Distribution,Proxy type
"Breecker & Retallack, 2014",18.2,,,274,median,183,400,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 286 ppm,right skewed (mode < mean),Paleosols
"Breecker & Retallack, 2014",23.0,,,203,median,97,493,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate (column F) is the median; mean = 289 ppm,right skewed (mode < mean),Paleosols
"Li et al., 2014",100.8,,,763,mean,382,1526,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",102.4,,,621,mean,310,1242,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",103.1,,,792,mean,396,1584,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",103.3,,,1052,mean,526,2104,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",104.6,,,1246,mean,623,2493,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",104.7,,,1139,mean,570,2278,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",104.8,,,1254,mean,627,2509,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",106.1,,,1399,mean,700,2798,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",106.4,,,1474,mean,737,2949,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",106.5,,,1679,mean,840,3358,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",106.6,,,1497,mean,748,2994,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",106.9,,,1496,mean,748,2992,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",107.8,,,1201,mean,600,2402,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",108.8,,,1015,mean,508,2030,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",110.3,,,1065,mean,532,2130,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",111.1,,,1637,mean,818,3274,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",111.5,,,1966,mean,983,3933,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",111.8,,,1880,mean,940,3760,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",112.3,,,1829,mean,914,3658,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",112.7,,,1419,mean,710,2838,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",113.8,,,1295,mean,648,2590,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",114.8,,,1514,mean,757,3029,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",114.9,,,1426,mean,713,2853,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",115.3,,,1367,mean,684,2734,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",116.1,,,1666,mean,833,3331,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",117.8,,,1364,mean,682,2728,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",123.3,,,736,mean,368,1472,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",123.6,,,607,mean,304,1214,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",123.7,,,824,mean,412,1648,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",123.8,,,1018,mean,509,2035,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",126.4,,,1065,mean,532,2130,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",126.6,,,1510,mean,755,3019,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",127.5,,,1704,mean,852,3408,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",129.8,,,940,mean,470,1880,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",130.2,,,1023,mean,512,2046,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",130.8,,,842,mean,421,1685,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",131.3,,,1910,mean,955,3819,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Li et al., 2014",132.0,,,2562,mean,1281,5123,"16 and 84 percentiles; uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breecker et al. (2013, p. 3218)","right skewed (mode < mean); uncertainty not reported; uncertainty determined here by adopted the generalized, right-skewed errors of +100/-50% from Breeker et al. (2013, p. 3218)",Paleosols
"Schaller et al., 2015",201.5,,,710,mean,449,971,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",201.8,,,1189.6,mean,730,1650,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",201.8,,,1494.733333,mean,911,2078,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",201.9,,,1502,mean,917,2087,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",202.1,,,1508.866667,mean,925,2092,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",202.6,,,1064.533333,mean,662,1467,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",202.8,,,1613.266667,mean,982,2244,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",203.3,,,1486.8,mean,907,2066,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",203.5,,,1297.866667,mean,801,1795,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",203.9,,,1942.533333,mean,1155,2730,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",204.1,,,1021.333333,mean,632,1411,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",204.4,,,1854.466667,mean,1122,2586,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",204.6,,,1427.133333,mean,872,1983,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",204.6,,,1973.333333,mean,1252,2695,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",204.7,,,2023.8,mean,1270,2778,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",205.9,,,2157.866667,mean,1351,2965,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",205.9,,,2103.866667,mean,1317,2891,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",207.2,,,1962.8,mean,1246,2680,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",207.3,,,2275.6,mean,1405,3146,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",207.5,,,2723.733333,mean,1657,3790,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",207.8,,,2505.333333,mean,1539,3472,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",207.9,,,2508.4,mean,1519,3497,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",208.1,,,2953.133333,mean,1575,4331,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",208.3,,,2953.133333,mean,1764,4142,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",208.4,,,2831.733333,mean,1713,3950,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",209.2,,,3191.066667,mean,1878,4504,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",210.0,,,2756,mean,1664,3848,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",210.3,,,2295.533333,mean,1437,3154,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",210.8,,,2605.6,mean,1579,3632,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",211.6,,,1623.4,mean,1047,2200,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",211.6,,,2236.6,mean,1367,3106,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",211.9,,,1942.266667,mean,1220,2664,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",213.1,,,2635.6,mean,1574,3697,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.0,,,3194.333333,mean,1873,4516,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.0,,,3087.8,mean,1803,4373,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.1,,,3123.2,mean,1826,4420,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.2,,,3722.4,mean,2095,5350,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.3,,,3395.733333,mean,1939,4853,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.4,,,3218.066667,mean,1867,4569,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.6,,,3113.6,mean,1808,4419,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.6,,,3132.333333,mean,1844,4420,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",215.7,,,3240.6,mean,1884,4597,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",216.0,,,2470.2,mean,1505,3436,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",216.2,,,2767,mean,1582,3952,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",218.2,,,3183.266667,mean,1806,4561,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",218.8,,,2798.666667,mean,1647,3950,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",222.0,,,2732.066667,mean,1636,3828,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",222.3,,,2324.933333,mean,1413,3237,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",222.4,,,3022.666667,mean,1756,4290,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",223.2,,,2627.333333,mean,1596,3658,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",224.3,,,3042.066667,mean,1805,4279,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",225.8,,,2547.466667,mean,1537,3558,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",226.2,,,3302.4,mean,1906,4699,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",226.6,,,3182.6,mean,1875,4491,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",227.1,,,3568.133333,mean,2055,5081,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",229.3,,,3319.733333,mean,1936,4704,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",229.7,,,2445.6,mean,1505,3387,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",231.0,,,2516.4,mean,1541,3492,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",231.4,,,3230.866667,mean,1900,4562,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",232.0,,,2142.8,mean,1335,2950,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
"Schaller et al., 2015",232.2,,,2884.2,mean,1724,4045,16 and 84 percentiles; uncertainty based on Monte Carlo simulations of Breecker (2013); best estimate appears to be mean (not median),appears to be Gaussian---was the uncertainty analysis done correctly?,Paleosols
